X,Y,Z,ID,Date,Location Residual,Sensors Hit,Sensors Used,Apparent Volume,Seismic Moment,Local Magnitude
2.76E+03,4.76E+03,1.17E+03,nan,nan,1.20E+00,6.00E+00,6.00E+00,4.18E+01,7.37E+05,-2.50E+00
2.70E+03,4.73E+03,1.09E+03,nan,nan,1.85E+00,9.00E+00,6.00E+00,1.47E+03,8.93E+06,-1.90E+00
2.76E+03,4.76E+03,1.18E+03,nan,nan,1.51E+00,9.00E+00,8.00E+00,4.16E+02,1.93E+07,-1.50E+00
2.78E+03,4.78E+03,1.16E+03,nan,nan,1.45E+00,9.00E+00,9.00E+00,8.29E+02,2.94E+07,-1.40E+00
2.75E+03,4.83E+03,1.23E+03,nan,nan,2.00E+00,8.00E+00,7.00E+00,2.64E+04,3.58E+07,-1.70E+00
2.77E+03,4.76E+03,1.17E+03,nan,nan,3.01E+00,6.00E+00,6.00E+00,4.60E+01,6.84E+05,-2.60E+00
2.76E+03,4.79E+03,1.18E+03,nan,nan,8.20E-01,8.00E+00,6.00E+00,5.19E+01,1.42E+06,-2.30E+00
2.77E+03,4.76E+03,1.18E+03,nan,nan,2.13E+00,7.00E+00,7.00E+00,1.52E+02,3.39E+06,-2.00E+00
2.69E+03,4.71E+03,1.16E+03,nan,nan,3.04E+00,9.00E+00,9.00E+00,5.02E+03,2.13E+07,-1.70E+00
2.76E+03,4.77E+03,1.17E+03,nan,nan,1.30E+00,9.00E+00,9.00E+00,1.51E+03,2.89E+07,-1.40E+00
2.77E+03,4.77E+03,1.17E+03,nan,nan,1.92E+00,8.00E+00,7.00E+00,1.36E+02,1.28E+06,-2.40E+00
2.78E+03,4.75E+03,1.17E+03,nan,nan,8.70E-01,6.00E+00,6.00E+00,1.25E+03,8.32E+06,-1.90E+00
2.76E+03,4.78E+03,1.17E+03,nan,nan,1.96E+00,8.00E+00,8.00E+00,6.56E+02,3.75E+06,-2.20E+00
2.78E+03,4.76E+03,1.17E+03,nan,nan,1.25E+00,6.00E+00,5.00E+00,1.91E+02,7.90E+05,-2.70E+00
2.77E+03,4.76E+03,1.17E+03,nan,nan,1.84E+00,6.00E+00,5.00E+00,1.07E+02,7.76E+05,-2.60E+00
